"Image type","Feature Class","Feature Name","Segmentation_segment_Segment_1","Segmentation_segment_Segment_2"
"diagnostics","Versions","PyRadiomics","2.2.0.post43+gf719e5e","2.2.0.post43+gf719e5e"
"diagnostics","Versions","Numpy","1.13.1","1.13.1"
"diagnostics","Versions","SimpleITK","1.1.0rc2.post31","1.1.0rc2.post31"
"diagnostics","Versions","PyWavelet","0.5.2","0.5.2"
"diagnostics","Versions","Python","2.7.13","2.7.13"
"diagnostics","Configuration","Settings","{'distances': [1], 'force2Ddimension': 0, 'force2D': False, 'interpolator': 'sitkBSpline', 'resampledPixelSpacing': None, 'normalizeScale': 1, 'normalize': False, 'additionalInfo': True, 'padDistance': 5, 'removeOutliers': None, 'minimumROISize': None, u'binWidth': 25.0, 'label': 1, 'correctMask': True, 'preCrop': False, u'symmetricalGLCM': True, 'resegmentRange': None, 'minimumROIDimensions': 2}","{'distances': [1], 'force2Ddimension': 0, 'force2D': False, 'interpolator': 'sitkBSpline', 'resampledPixelSpacing': None, 'normalizeScale': 1, 'normalize': False, 'additionalInfo': True, 'padDistance': 5, 'removeOutliers': None, 'minimumROISize': None, u'binWidth': 25.0, 'label': 1, 'correctMask': True, 'preCrop': False, u'symmetricalGLCM': True, 'resegmentRange': None, 'minimumROIDimensions': 2}"
"diagnostics","Configuration","EnabledImageTypes","{u'Original': {}}","{u'Original': {}}"
"diagnostics","Image-original","Hash","95b7a45fced0fac8f3b950ddcdc960389345a962","95b7a45fced0fac8f3b950ddcdc960389345a962"
"diagnostics","Image-original","Dimensionality","3D","3D"
"diagnostics","Image-original","Spacing","(0.625, 0.625, 3.0)","(0.625, 0.625, 3.0)"
"diagnostics","Image-original","Size","(512, 512, 64)","(512, 512, 64)"
"diagnostics","Image-original","Mean","82.88193154335022","82.88193154335022"
"diagnostics","Image-original","Minimum","0.0","0.0"
"diagnostics","Image-original","Maximum","2990.0","2990.0"
"diagnostics","Mask-original","Hash","d9a3610456bda7b5c38accd195f21d3abd76b6e2","131e9cd14570f1e2b17d6d2c349797f32d525e97"
"diagnostics","Mask-original","Spacing","(0.6250000000000001, 0.6250000000000001, 3.0000000000000004)","(0.625, 0.625, 3.0000000000000004)"
"diagnostics","Mask-original","Size","(12, 16, 3)","(20, 24, 3)"
"diagnostics","Mask-original","BoundingBox","(0, 0, 0, 12, 16, 3)","(0, 0, 0, 20, 24, 3)"
"diagnostics","Mask-original","VoxelNum","269","637"
"diagnostics","Mask-original","VolumeNum","1","1"
"diagnostics","Mask-original","CenterOfMassIndex","(5.7063197026022303, 7.6282527881040894, 1.2973977695167287)","(9.7519623233908952, 12.03767660910518, 1.1444270015698588)"
"diagnostics","Mask-original","CenterOfMass","(67.69154579134258, -30.56965994569006, -1.2041049092231946)","(67.6630191533497, -30.825549833815735, -1.6630172130638177)"
"diagnostics","Mask-corrected","Spacing","(0.625, 0.625, 3.0)","(0.625, 0.625, 3.0)"
"diagnostics","Mask-corrected","Size","(512, 512, 64)","(512, 512, 64)"
"diagnostics","Mask-corrected","BoundingBox","(140, 307, 26, 12, 16, 3)","(136, 303, 26, 20, 24, 3)"
"diagnostics","Mask-corrected","VoxelNum","269","637"
"diagnostics","Mask-corrected","VolumeNum","1","1"
"diagnostics","Mask-corrected","CenterOfMassIndex","(145.70631970260223, 314.62825278810408, 27.297397769516728)","(145.7519623233909, 315.03767660910518, 27.144427001569859)"
"diagnostics","Mask-corrected","CenterOfMass","(67.69154579134235, -30.56965994569009, -1.2041049092232328)","(67.66301915334944, -30.825549833815785, -1.6630172130638385)"
"diagnostics","Mask-corrected","Mean","1145.6988847583643","990.70643642072218"
"diagnostics","Mask-corrected","Minimum","856.0","386.0"
"diagnostics","Mask-corrected","Maximum","1881.0","1745.0"
"original","shape","VoxelVolume","315.234375","746.484375"
"original","shape","Maximum3DDiameter","12.3009146001","16.6226502099"
"original","shape","MeshVolume","300.927734375","717.1875"
"original","shape","MajorAxisLength","9.9135012366201813","16.054632202677048"
"original","shape","Sphericity","0.745710335261","0.494414457781"
"original","shape","LeastAxisLength","5.946775711733248","9.1222904706837067"
"original","shape","Elongation","0.76885670705721465","0.82380565875814182"
"original","shape","SurfaceVolumeRatio","0.967742669721","1.09273635451"
"original","shape","Maximum2DDiameterSlice","9.88211768803","15.436361294"
"original","shape","Flatness","0.59986634084091639","0.56820301801511208"
"original","shape","SurfaceArea","291.220609057","783.696854248"
"original","shape","MinorAxisLength","7.6220619161954177","13.225896857846044"
"original","shape","Maximum2DDiameterColumn","10.6132287736","13.9244613899"
"original","shape","Maximum2DDiameterRow","12.125","15.9143213804"
"original","gldm","GrayLevelVariance","47.2819612775","89.0529242007"
"original","gldm","HighGrayLevelEmphasis","199.698884758","721.295133438"
"original","gldm","DependenceEntropy","5.97129359995","6.51196199927"
"original","gldm","DependenceNonUniformity","71.9144981413","245.558869702"
"original","gldm","GrayLevelNonUniformity","16.3531598513","19.6185243328"
"original","gldm","SmallDependenceEmphasis","0.473878120607","0.60356183499"
"original","gldm","SmallDependenceHighGrayLevelEmphasis","112.409368719","424.054281354"
"original","gldm","DependenceNonUniformityNormalized","0.267340141789","0.385492731086"
"original","gldm","LargeDependenceEmphasis","7.17100371747","3.568288854"
"original","gldm","LargeDependenceLowGrayLevelEmphasis","0.0959794560758","0.0165632941234"
"original","gldm","DependenceVariance","2.07918630201","0.699067696152"
"original","gldm","LargeDependenceHighGrayLevelEmphasis","1104.62825279","2770.26844584"
"original","gldm","SmallDependenceLowGrayLevelEmphasis","0.0160719205739","0.00613503841616"
"original","gldm","LowGrayLevelEmphasis","0.0237510327066","0.00791328864549"
"original","glcm","JointAverage","12.1581043815","25.39872853"
"original","glcm","SumAverage","24.3162087629","50.79745706"
"original","glcm","JointEntropy","7.26943679027","8.631221201"
"original","glcm","ClusterShade","2883.80885774","-195.568094161"
"original","glcm","MaximumProbability","0.0231635811232","0.00890050280062"
"original","glcm","Idmn","0.979939219181","0.96632197525"
"original","glcm","JointEnergy","0.00794438118499","0.00292716509368"
"original","glcm","Contrast","38.8721431324","113.999045429"
"original","glcm","DifferenceEntropy","3.55480331063","4.30120104375"
"original","glcm","InverseVariance","0.21594423731","0.135795105119"
"original","glcm","DifferenceVariance","16.0841834644","41.862524184"
"original","glcm","Idn","0.906856085546","0.879540162218"
"original","glcm","Idm","0.206549361582","0.128407176957"
"original","glcm","Correlation","0.533570292231","0.302719623529"
"original","glcm","Autocorrelation","171.062311003","671.313405976"
"original","glcm","SumEntropy","4.8436077425","5.70116380224"
"original","glcm","MCC","0.9496737183","0.761242881744"
"original","glcm","SumSquares","42.6373120231","83.1118100577"
"original","glcm","ClusterProminence","133641.313774","140671.398319"
"original","glcm","Imc2","0.968002024336","0.979713851898"
"original","glcm","Imc1","-0.322132880222","-0.317784235435"
"original","glcm","DifferenceAverage","4.6405132817","8.20225878057"
"original","glcm","Id","0.298508192054","0.213132581854"
"original","glcm","ClusterTendency","131.67710496","218.448194802"
"original","firstorder","InterquartileRange","152.0","348.0"
"original","firstorder","Skewness","1.66727520689","-0.0940519133654"
"original","firstorder","Uniformity","0.0607924158041","0.0307983113545"
"original","firstorder","Median","1110.0","1011.0"
"original","firstorder","Energy","361022695.0","660637286.0"
"original","firstorder","RobustMeanAbsoluteDeviation","68.0552082207","139.851945917"
"original","firstorder","MeanAbsoluteDeviation","119.589032766","193.171272325"
"original","firstorder","TotalEnergy","423073470.703","774184319.531"
"original","firstorder","Maximum","1881.0","1745.0"
"original","firstorder","RootMeanSquared","1158.48685922","1018.38460287"
"original","firstorder","90Percentile","1343.2","1281.8"
"original","firstorder","Minimum","856.0","386.0"
"original","firstorder","Entropy","4.41867762692","5.21871740233"
"original","firstorder","Range","1025.0","1359.0"
"original","firstorder","Variance","29465.8684374","55607.9562066"
"original","firstorder","10Percentile","968.6","681.6"
"original","firstorder","Kurtosis","6.7581714632","2.6911081522"
"original","firstorder","Mean","1145.69888476","990.706436421"
"original","glrlm","ShortRunLowGrayLevelEmphasis","0.0238312051426","0.00794780179524"
"original","glrlm","GrayLevelVariance","48.5584367073","89.6458194076"
"original","glrlm","LowGrayLevelRunEmphasis","0.0243112787737","0.00802703585719"
"original","glrlm","GrayLevelNonUniformityNormalized","0.0593974163585","0.030595586047"
"original","glrlm","RunVariance","0.0543084193769","0.0305142593846"
"original","glrlm","GrayLevelNonUniformity","15.2093075458","18.9700297127"
"original","glrlm","LongRunEmphasis","1.16181848647","1.08808296582"
"original","glrlm","ShortRunHighGrayLevelEmphasis","196.477798711","704.345017668"
"original","glrlm","RunLengthNonUniformity","233.017359906","589.426836934"
"original","glrlm","ShortRunEmphasis","0.963044685041","0.980094200794"
"original","glrlm","LongRunHighGrayLevelEmphasis","226.46327273","788.346435976"
"original","glrlm","RunPercentage","0.951672862454","0.973312401884"
"original","glrlm","LongRunLowGrayLevelEmphasis","0.0264001579794","0.00835832107069"
"original","glrlm","RunEntropy","4.65588055865","5.35342409128"
"original","glrlm","HighGrayLevelRunEmphasis","202.178590468","719.743920468"
"original","glrlm","RunLengthNonUniformityNormalized","0.908592617964","0.949705586281"
"original","glszm","GrayLevelVariance","63.2792184076","97.8101697333"
"original","glszm","ZoneVariance","4.51401570489","0.851112617134"
"original","glszm","GrayLevelNonUniformityNormalized","0.0467494521549","0.0286014196251"
"original","glszm","SizeZoneNonUniformityNormalized","0.494795471147","0.563218156526"
"original","glszm","SizeZoneNonUniformity","73.2297297297","249.505643341"
"original","glszm","GrayLevelNonUniformity","6.91891891892","12.6704288939"
"original","glszm","LargeAreaEmphasis","7.81756756757","2.91873589165"
"original","glszm","SmallAreaHighGrayLevelEmphasis","181.400205035","542.658350379"
"original","glszm","ZonePercentage","0.550185873606","0.695447409733"
"original","glszm","LargeAreaLowGrayLevelEmphasis","0.104563003303","0.0158014629793"
"original","glszm","LargeAreaHighGrayLevelEmphasis","1230.60135135","2252.8510158"
"original","glszm","HighGrayLevelZoneEmphasis","234.040540541","701.993227991"
"original","glszm","SmallAreaEmphasis","0.730585839501","0.778017130291"
"original","glszm","LowGrayLevelZoneEmphasis","0.0318854572878","0.0095853754808"
"original","glszm","ZoneEntropy","5.62017209573","6.26265415506"
"original","glszm","SmallAreaLowGrayLevelEmphasis","0.0271913612871","0.00840465282791"
"original","ngtdm","Coarseness","0.0254159932973","0.0113577079546"
"original","ngtdm","Complexity","1799.77887125","4917.62377173"
"original","ngtdm","Strength","18.8931484492","9.24000154314"
"original","ngtdm","Contrast","0.242087359302","0.375314336657"
"original","ngtdm","Busyness","0.0981953440089","0.0734286712594"
