"Image type","Feature Class","Feature Name","Segmentation_segment_Segment_1","Segmentation_segment_Segment_3"
"diagnostics","Versions","PyRadiomics","2.2.0.post43+gf719e5e","2.2.0.post43+gf719e5e"
"diagnostics","Versions","Numpy","1.13.1","1.13.1"
"diagnostics","Versions","SimpleITK","1.1.0rc2.post31","1.1.0rc2.post31"
"diagnostics","Versions","PyWavelet","0.5.2","0.5.2"
"diagnostics","Versions","Python","2.7.13","2.7.13"
"diagnostics","Configuration","Settings","{'distances': [1], 'force2Ddimension': 0, 'force2D': False, 'interpolator': 'sitkBSpline', 'resampledPixelSpacing': None, 'normalizeScale': 1, 'normalize': False, 'additionalInfo': True, 'padDistance': 5, 'removeOutliers': None, 'minimumROISize': None, u'binWidth': 25.0, 'label': 1, 'correctMask': True, 'preCrop': False, u'symmetricalGLCM': True, 'resegmentRange': None, 'minimumROIDimensions': 2}","{'distances': [1], 'force2Ddimension': 0, 'force2D': False, 'interpolator': 'sitkBSpline', 'resampledPixelSpacing': None, 'normalizeScale': 1, 'normalize': False, 'additionalInfo': True, 'padDistance': 5, 'removeOutliers': None, 'minimumROISize': None, u'binWidth': 25.0, 'label': 1, 'correctMask': True, 'preCrop': False, u'symmetricalGLCM': True, 'resegmentRange': None, 'minimumROIDimensions': 2}"
"diagnostics","Configuration","EnabledImageTypes","{u'Original': {}}","{u'Original': {}}"
"diagnostics","Image-original","Hash","1c4e2bc08dba860cb700ceb4434b9532c66b1878","1c4e2bc08dba860cb700ceb4434b9532c66b1878"
"diagnostics","Image-original","Dimensionality","3D","3D"
"diagnostics","Image-original","Spacing","(0.6249999999999999, 0.6249999999999999, 1.0)","(0.6249999999999999, 0.6249999999999999, 1.0)"
"diagnostics","Image-original","Size","(512, 512, 192)","(512, 512, 192)"
"diagnostics","Image-original","Mean","117.55830093224843","117.55830093224843"
"diagnostics","Image-original","Minimum","0.0","0.0"
"diagnostics","Image-original","Maximum","5473.0","5473.0"
"diagnostics","Mask-original","Hash","c2a5e6694bd3a131d02c04642bf8bf37f5a6474f","c159ed5c31868939eef01543e5bf5d47dee3dfa3"
"diagnostics","Mask-original","Spacing","(0.6249999999999999, 0.6249999999999999, 1.0)","(0.6249999999999999, 0.6249999999999999, 1.0)"
"diagnostics","Mask-original","Size","(9, 15, 9)","(17, 23, 13)"
"diagnostics","Mask-original","BoundingBox","(0, 0, 0, 9, 15, 9)","(0, 0, 0, 17, 23, 13)"
"diagnostics","Mask-original","VoxelNum","475","2429"
"diagnostics","Mask-original","VolumeNum","1","1"
"diagnostics","Mask-original","CenterOfMassIndex","(4.094736842105263, 7.4547368421052633, 4.8526315789473689)","(8.1362700699876491, 11.571428571428571, 6.5582544256895838)"
"diagnostics","Mask-original","CenterOfMass","(79.32079435649618, -16.342209183542778, 32.773430834318454)","(79.2948360890697, -16.415141514369843, 32.47905368106068)"
"diagnostics","Mask-corrected","Spacing","(0.6249999999999999, 0.6249999999999999, 1.0)","(0.6249999999999999, 0.6249999999999999, 1.0)"
"diagnostics","Mask-corrected","Size","(512, 512, 192)","(512, 512, 192)"
"diagnostics","Mask-corrected","BoundingBox","(123, 283, 109, 9, 15, 9)","(119, 279, 107, 17, 23, 13)"
"diagnostics","Mask-corrected","VoxelNum","475","2429"
"diagnostics","Mask-corrected","VolumeNum","1","1"
"diagnostics","Mask-corrected","CenterOfMassIndex","(127.09473684210526, 290.45473684210526, 113.85263157894737)","(127.13627006998765, 290.57142857142856, 113.55825442568958)"
"diagnostics","Mask-corrected","CenterOfMass","(79.32079435649669, -16.342209183542366, 32.7734308343185)","(79.2948360890702, -16.415141514369424, 32.47905368106072)"
"diagnostics","Mask-corrected","Mean","899.83368421052637","181.0399341292713"
"diagnostics","Mask-corrected","Minimum","284.0","0.0"
"diagnostics","Mask-corrected","Maximum","1813.0","1866.0"
"original","shape","VoxelVolume","185.54687499999994","948.82812499999977"
"original","shape","Maximum3DDiameter","12.2691177352","17.4077927952"
"original","shape","MeshVolume","180.777994792","945.328776042"
"original","shape","MajorAxisLength","11.060255849666984","16.033336129131197"
"original","shape","Sphericity","0.683130181497","0.557973615521"
"original","shape","LeastAxisLength","4.2906390853452772","10.360231630755282"
"original","shape","Elongation","0.6030313650728294","0.71657085953568789"
"original","shape","SurfaceVolumeRatio","1.25198405013","0.883099221366"
"original","shape","Maximum2DDiameterSlice","9.88211768803","15.674920255"
"original","shape","Flatness","0.38793307710639124","0.64616818030351331"
"original","shape","SurfaceArea","226.331166093","834.819106057"
"original","shape","MinorAxisLength","6.6696811830794278","11.489021451276139"
"original","shape","Maximum2DDiameterColumn","9.52709950615","14.4243717368"
"original","shape","Maximum2DDiameterRow","11.7153745139","17.125"
"original","gldm","GrayLevelVariance","196.190652632","111.900339337"
"original","gldm","HighGrayLevelEmphasis","847.461052632","173.40881021"
"original","gldm","DependenceEntropy","6.68718097032","6.72843043349"
"original","gldm","DependenceNonUniformity","208.174736842","315.65129683"
"original","gldm","GrayLevelNonUniformity","10.4736842105","249.989707699"
"original","gldm","SmallDependenceEmphasis","0.642057894737","0.28363397062"
"original","gldm","SmallDependenceHighGrayLevelEmphasis","537.028201754","109.73700462"
"original","gldm","DependenceNonUniformityNormalized","0.438262603878","0.129951130848"
"original","gldm","LargeDependenceEmphasis","2.88210526316","41.0123507616"
"original","gldm","LargeDependenceLowGrayLevelEmphasis","0.0656401839044","34.563668625"
"original","gldm","DependenceVariance","0.461624376731","18.9505920383"
"original","gldm","LargeDependenceHighGrayLevelEmphasis","2413.43578947","606.966652944"
"original","gldm","SmallDependenceLowGrayLevelEmphasis","0.00820835597192","0.014530156064"
"original","gldm","LowGrayLevelEmphasis","0.0172676067102","0.297052299903"
"original","glcm","JointAverage","28.8722822843","7.89407675914"
"original","glcm","SumAverage","57.7445645685","15.7881535183"
"original","glcm","JointEntropy","9.06938631565","7.46245016548"
"original","glcm","ClusterShade","965.872732254","25759.1065792"
"original","glcm","MaximumProbability","0.00533324840685","0.119062345351"
"original","glcm","Idmn","0.950782786965","0.990279463461"
"original","glcm","JointEnergy","0.00200817677933","0.0221523356895"
"original","glcm","Contrast","217.876898835","59.2320738227"
"original","glcm","DifferenceEntropy","4.80314242635","3.75803096147"
"original","glcm","InverseVariance","0.0900820862147","0.22668191006"
"original","glcm","DifferenceVariance","74.9752840254","35.9173611623"
"original","glcm","Idn","0.852681742344","0.945319086213"
"original","glcm","Idm","0.0866040362039","0.311609909317"
"original","glcm","Correlation","0.444954510089","0.752805713543"
"original","glcm","Autocorrelation","920.098528108","151.427231478"
"original","glcm","SumEntropy","6.32895693721","5.08335225074"
"original","glcm","MCC","0.667186777157","0.80409518458"
"original","glcm","SumSquares","195.057227469","118.668716678"
"original","glcm","ClusterProminence","809371.715938","2357269.65482"
"original","glcm","Imc2","0.993966863359","0.882444225815"
"original","glcm","Imc1","-0.392575184316","-0.187233077142"
"original","glcm","DifferenceAverage","11.7172581568","4.73328958626"
"original","glcm","Id","0.162470373351","0.38563051631"
"original","glcm","ClusterTendency","562.352011041","415.442792888"
"original","firstorder","InterquartileRange","520.0","187.0"
"original","firstorder","Skewness","0.26986472864","2.95212657639"
"original","firstorder","Uniformity","0.0220498614958","0.102918776327"
"original","firstorder","Median","863.0","97.0"
"original","firstorder","Energy","442849093.0","250777932.0"
"original","firstorder","RobustMeanAbsoluteDeviation","213.501549001","85.1613017715"
"original","firstorder","MeanAbsoluteDeviation","290.467040443","168.884286736"
"original","firstorder","TotalEnergy","172987926.953","97960129.6875"
"original","firstorder","Maximum","1813.0","1866.0"
"original","firstorder","RootMeanSquared","965.564021699","321.314926527"
"original","firstorder","90Percentile","1375.4","470.4"
"original","firstorder","Minimum","284.0","0.0"
"original","firstorder","Entropy","5.63542799958","4.13034695561"
"original","firstorder","Range","1529.0","1866.0"
"original","firstorder","Variance","122613.22076","70467.8242595"
"original","firstorder","10Percentile","416.0","0.0"
"original","firstorder","Kurtosis","2.3563877409","13.429891209"
"original","firstorder","Mean","899.833684211","181.039934129"
"original","glrlm","ShortRunLowGrayLevelEmphasis","0.0166621424466","0.169250022123"
"original","glrlm","GrayLevelVariance","195.302080744","121.787907359"
"original","glrlm","LowGrayLevelRunEmphasis","0.0170830197886","0.230191510308"
"original","glrlm","GrayLevelNonUniformityNormalized","0.0220690390996","0.0792472288293"
"original","glrlm","RunVariance","0.0220250114494","0.279912449477"
"original","glrlm","GrayLevelNonUniformity","10.2585033624","165.555398628"
"original","glrlm","LongRunEmphasis","1.06639614342","1.64666437586"
"original","glrlm","ShortRunHighGrayLevelEmphasis","833.43089489","193.861698709"
"original","glrlm","RunLengthNonUniformity","445.334021898","1629.07094351"
"original","glrlm","ShortRunEmphasis","0.983769369686","0.903390523132"
"original","glrlm","LongRunHighGrayLevelEmphasis","903.475315396","212.999966247"
"original","glrlm","RunPercentage","0.978623481781","0.857807898154"
"original","glrlm","LongRunLowGrayLevelEmphasis","0.018776171376","0.713136116909"
"original","glrlm","RunEntropy","5.7251962896","4.88442366579"
"original","glrlm","HighGrayLevelRunEmphasis","847.377297411","197.515716035"
"original","glrlm","RunLengthNonUniformityNormalized","0.957896492239","0.779993709159"
"original","glszm","GrayLevelVariance","184.109191837","180.314219119"
"original","glszm","ZoneVariance","0.475306122449","479.263787085"
"original","glszm","GrayLevelNonUniformityNormalized","0.0222040816327","0.0419953704373"
"original","glszm","SizeZoneNonUniformityNormalized","0.579444897959","0.427354257929"
"original","glszm","SizeZoneNonUniformity","202.805714286","337.182509506"
"original","glszm","GrayLevelNonUniformity","7.77142857143","33.134347275"
"original","glszm","LargeAreaEmphasis","2.31714285714","488.741444867"
"original","glszm","SmallAreaHighGrayLevelEmphasis","657.077837302","305.621722123"
"original","glszm","ZonePercentage","0.736842105263","0.324825030877"
"original","glszm","LargeAreaLowGrayLevelEmphasis","0.0448515667939","468.100506588"
"original","glszm","LargeAreaHighGrayLevelEmphasis","1941.32","1683.67807351"
"original","glszm","HighGrayLevelZoneEmphasis","842.691428571","386.049429658"
"original","glszm","SmallAreaEmphasis","0.78876984127","0.678648579728"
"original","glszm","LowGrayLevelZoneEmphasis","0.014739130356","0.0377574528052"
"original","glszm","ZoneEntropy","6.45584242","6.6291459882"
"original","glszm","SmallAreaLowGrayLevelEmphasis","0.00923589581309","0.020256444219"
"original","ngtdm","Coarseness","0.0141014705899","0.0018442754443"
"original","ngtdm","Complexity","9795.55698972","8680.59699985"
"original","ngtdm","Strength","17.0040184202","25.6948997134"
"original","ngtdm","Contrast","0.871382510081","0.139676476437"
"original","ngtdm","Busyness","0.0665752827735","1.23050914065"
